80:(4, 8.379724740982056)
79:(4, 8.285363674163818)
78:(4, 7.504911422729492)
77:(4, 7.233079433441162)
76:(4, 6.530429363250732)
75:(4, 6.428783655166626)
74:(4, 6.579369068145752)
73:(4, 6.133921384811401)
72:(4, 4.4942467212677)
71:(4, 7.4133594036102295)
70:(4, 5.179596900939941)
69:(4, 4.119858264923096)
68:(4, 4.824602842330933)
67:(4, 4.78851056098938)
66:(4, 4.605318784713745)
65:(4, 6.787678956985474)
64:(4, 4.128082036972046)
63:(4, 6.318663597106934)
62:(4, 3.771083354949951)
61:(4, 4.484115839004517)
60:(4, 4.952439546585083)
59:(4, 2.992497205734253)
58:(4, 4.887475967407227)
57:(4, 7.125196933746338)
56:(5, 6.704495429992676)
55:(4, 2.5577800273895264)
54:(5, 7.5312659740448)
53:(5, 4.3811211585998535)
52:(5, 7.431082487106323)
51:(5, 6.458089113235474)
50:(5, 5.530088424682617)
49:(5, 8.160826206207275)
48:(5, 6.820399284362793)
47:(5, 5.840191125869751)
46:(5, 4.799937725067139)
45:(5, 9.483510255813599)
44:(5, 5.670346021652222)
43:(5, 4.606472969055176)
42:(6, 8.644579410552979)
41:(5, 14.089576959609985)
40:(6, 8.432528018951416)
39:(6, 8.144647121429443)
38:(6, 14.808907747268677)
37:(6, 11.724106550216675)
36:(6, 10.618045330047607)
35:(6, 12.023356437683105)
34:(6, 10.411976099014282)
33:(6, 6.521191596984863)
32:(6, 6.377115249633789)
31:(6, 4.4408485889434814)
30:(6, 7.929332733154297)
29:(6, 11.782148361206055)
28:(6, 15.637776374816895)
27:(6, 13.085863828659058)
26:(6, 7.2842278480529785)
25:(7, 7.288262844085693)
24:(7, 4.2971508502960205)
23:(6, 5.481057643890381)
22:(7, 5.890198230743408)
21:(7, 3.454061269760132)
20:(7, 2.881962776184082)
19:(7, 3.9883265495300293)
18:(7, 7.148139238357544)
17:(8, 4.019296407699585)
16:(7, 4.963971138000488)
15:(8, 7.5953779220581055)
14:(8, 3.2533657550811768)
13:(8, 4.010826110839844)
12:(8, 5.688725709915161)
11:(8, 8.086497068405151)
10:(10, 4.303797960281372)
9:(8, 3.509915828704834)
8:(1, 0.0010025501251220703)
7:(1, 0.0010013580322265625)
